submit,prop,cond,bet,guess,pbet,pguess,key1,key2,ckey1,ckey2,cguess,locked,endTR,subnum,subject
2,60,3,10,0,26,1,0,2,2,6,-999999,0,1045,2,'591-AB-1'
40,61,5,40,1,-999999,-999999,4,0,-999999,-999999,-999999,0,707,2,'591-AB-1'
20,62,5,20,0,-999999,-999999,2,0,-999999,-999999,-999999,0,690,2,'591-AB-1'
-999999,63,1,7,0,16,0,-999999,-999999,-999999,-999999,-999999,1,827,2,'591-AB-1'
20,64,4,20,0,2,1,2,0,-999999,-999999,-999999,0,999,2,'591-AB-1'
40,65,1,20,1,42,1,4,0,-999999,-999999,-999999,0,698,2,'591-AB-1'
20,66,4,50,0,30,1,2,0,4,-999999,-999999,0,899,2,'591-AB-1'
-999999,67,5,4,0,-999999,-999999,-999999,-999999,-999999,-999999,-999999,1,1283,2,'591-AB-1'
40,68,1,60,0,20,0,4,0,-999999,-999999,-999999,0,1035,2,'591-AB-1'
50,69,4,50,0,32,1,5,0,-999999,-999999,-999999,0,397,2,'591-AB-1'
10,70,3,20,0,31,1,1,0,-999999,-999999,-999999,0,1342,2,'591-AB-1'
20,71,3,10,0,30,1,2,0,-999999,-999999,-999999,0,300,2,'591-AB-1'
10,72,5,10,0,-999999,-999999,1,0,-999999,-999999,-999999,0,818,2,'591-AB-1'
20,73,2,3,0,1,0,2,0,-999999,-999999,-999999,0,17,2,'591-AB-1'
20,74,3,20,0,30,1,2,0,-999999,-999999,-999999,0,453,2,'591-AB-1'
20,75,2,10,1,5,1,2,0,-999999,-999999,-999999,0,165,2,'591-AB-1'
10,76,4,20,0,3,1,1,0,-999999,-999999,1,0,579,2,'591-AB-1'
20,77,4,30,1,10,0,2,0,-999999,-999999,-999999,0,138,2,'591-AB-1'
10,78,4,30,0,20,1,1,0,2,0,-999999,0,1386,2,'591-AB-1'
10,79,3,10,0,30,1,1,0,-999999,-999999,-999999,0,341,2,'591-AB-1'
60,80,1,60,0,60,0,6,0,-999999,-999999,-999999,0,934,2,'591-AB-1'
40,81,2,40,0,22,0,4,0,-999999,-999999,-999999,0,1412,2,'591-AB-1'
4,82,4,10,0,5,1,0,4,-999999,-999999,-999999,0,1214,2,'591-AB-1'
10,83,4,40,0,27,1,1,0,-999999,-999999,-999999,0,1317,2,'591-AB-1'
-999999,84,1,20,1,37,1,-999999,-999999,-999999,-999999,-999999,1,989,2,'591-AB-1'
-999999,85,1,40,0,60,0,-999999,-999999,-999999,-999999,-999999,1,636,2,'591-AB-1'
20,86,4,20,1,11,0,2,0,-999999,-999999,-999999,0,587,2,'591-AB-1'
50,87,1,20,0,34,0,5,0,-999999,-999999,0,0,361,2,'591-AB-1'
-999999,88,4,20,1,2,0,-999999,-999999,-999999,-999999,-999999,1,1069,2,'591-AB-1'
30,89,3,60,0,12,1,3,0,-999999,-999999,-999999,0,1451,2,'591-AB-1'
30,90,1,20,0,34,0,3,0,-999999,-999999,-999999,0,131,2,'591-AB-1'
-999999,91,5,40,0,-999999,-999999,-999999,-999999,-999999,-999999,-999999,1,554,2,'591-AB-1'
10,92,3,20,0,34,1,1,0,-999999,-999999,-999999,0,1207,2,'591-AB-1'
2,93,4,2,0,1,1,0,2,-999999,-999999,-999999,0,422,2,'591-AB-1'
50,94,2,45,0,30,0,5,0,-999999,-999999,-999999,0,350,2,'591-AB-1'
10,95,5,10,1,-999999,-999999,1,0,-999999,-999999,-999999,0,907,2,'591-AB-1'
20,96,3,40,1,50,0,2,0,-999999,-999999,-999999,0,957,2,'591-AB-1'
10,97,3,20,1,35,0,1,0,-999999,-999999,-999999,0,9,2,'591-AB-1'
20,98,4,30,0,16,1,2,0,-999999,-999999,-999999,0,1334,2,'591-AB-1'
60,99,2,60,0,44,0,6,0,-999999,-999999,-999999,0,437,2,'591-AB-1'
1,100,3,2,0,14,1,0,1,-999999,-999999,-999999,0,1060,2,'591-AB-1'
10,101,5,2,0,-999999,-999999,1,0,-999999,-999999,-999999,0,681,2,'591-AB-1'
30,102,5,30,0,-999999,-999999,3,0,-999999,-999999,-999999,0,334,2,'591-AB-1'
10,103,3,30,0,40,1,1,0,-999999,-999999,-999999,0,430,2,'591-AB-1'
10,104,2,7,0,4,0,1,0,-999999,-999999,-999999,0,1016,2,'591-AB-1'
50,105,1,40,0,60,0,5,0,-999999,-999999,-999999,0,777,2,'591-AB-1'
20,106,4,20,1,1,0,2,0,2,-999999,-999999,0,647,2,'591-AB-1'
10,107,3,20,0,32,1,1,0,-999999,-999999,-999999,0,471,2,'591-AB-1'
10,108,2,10,0,6,0,1,0,-999999,-999999,-999999,0,1359,2,'591-AB-1'
20,109,5,20,0,-999999,-999999,2,0,-999999,-999999,-999999,0,1476,2,'591-AB-1'
-999999,110,2,50,0,32,0,-999999,-999999,-999999,-999999,-999999,1,45,2,'591-AB-1'
1,111,4,7,0,4,1,0,1,-999999,-999999,-999999,0,1309,2,'591-AB-1'
30,112,2,20,0,6,0,3,0,-999999,-999999,-999999,0,370,2,'591-AB-1'
10,113,4,20,1,7,0,1,0,-999999,-999999,-999999,0,916,2,'591-AB-1'
10,114,3,10,0,24,1,1,0,2,4,-999999,0,529,2,'591-AB-1'
20,115,1,10,0,20,0,2,0,-999999,-999999,-999999,0,792,2,'591-AB-1'
